0.019 pkt: 0 | received
0.229 ACK: 26 | sent
0.232 pkt: 21 | received
0.232 ACK: 26 | sent
0.233 pkt: 21 | received
0.233 ACK: 26 | sent
0.234 pkt: 21 | received
0.234 ACK: 26 | sent
0.237 pkt: 53 | received
0.237 ACK: 26 | sent
0.237 pkt: 54 | received
0.237 ACK: 26 | sent
0.238 pkt: 55 | received
0.238 ACK: 26 | sent
0.239 pkt: 56 | received
0.239 ACK: 26 | sent
0.240 pkt: 57 | received
0.241 ACK: 26 | sent
0.241 pkt: 58 | received
0.242 ACK: 26 | sent
0.243 pkt: 27 | received
0.243 ACK: 58 | sent
0.244 pkt: 27 | received
0.244 ACK: 58 | sent
0.245 pkt: 27 | received
0.245 ACK: 58 | sent
0.247 pkt: 27 | received
0.247 ACK: 58 | sent
0.247 pkt: 27 | received
0.247 ACK: 58 | sent
0.249 pkt: 27 | received
0.250 ACK: 58 | sent
0.255 pkt: 27 | received
0.255 ACK: 58 | sent
0.256 pkt: 27 | received
0.256 ACK: 58 | sent
0.259 pkt: 27 | received
0.259 ACK: 58 | sent
0.260 pkt: 27 | received
0.260 ACK: 58 | sent
0.262 pkt: 27 | received
0.262 ACK: 58 | sent
0.264 pkt: 59 | received
0.264 ACK: 59 | sent
0.264 pkt: 60 | received
0.264 ACK: 60 | sent
0.265 pkt: 61 | received
0.265 ACK: 61 | sent
0.267 pkt: 62 | received
0.267 ACK: 62 | sent
0.267 pkt: 63 | received
0.268 ACK: 63 | sent
0.269 pkt: 64 | received
0.269 ACK: 64 | sent
0.269 pkt: 65 | received
0.270 ACK: 65 | sent
0.271 pkt: 67 | received
0.271 ACK: 65 | sent
0.272 pkt: 68 | received
0.272 ACK: 65 | sent
0.273 pkt: 69 | received
0.273 ACK: 65 | sent
0.274 pkt: 70 | received
0.274 ACK: 65 | sent
0.276 pkt: 71 | received
0.276 ACK: 65 | sent
0.276 pkt: 72 | received
0.276 ACK: 65 | sent
0.278 pkt: 73 | received
0.278 ACK: 65 | sent
0.279 pkt: 74 | received
0.279 ACK: 65 | sent
0.280 pkt: 75 | received
0.280 ACK: 65 | sent
0.281 pkt: 76 | received
0.281 ACK: 65 | sent
0.282 pkt: 77 | received
0.282 ACK: 65 | sent
0.284 pkt: 78 | received
0.284 ACK: 65 | sent
0.285 pkt: 79 | received
0.285 ACK: 65 | sent
0.286 pkt: 80 | received
0.286 ACK: 65 | sent
0.287 pkt: 81 | received
0.287 ACK: 65 | sent
0.288 pkt: 82 | received
0.288 ACK: 65 | sent
0.289 pkt: 83 | received
0.289 ACK: 65 | sent
0.290 pkt: 84 | received
0.290 ACK: 65 | sent
0.291 pkt: 85 | received
0.291 ACK: 65 | sent
0.292 pkt: 86 | received
0.293 ACK: 65 | sent
0.295 pkt: 87 | received
0.295 ACK: 65 | sent
0.295 pkt: 88 | received
0.295 ACK: 65 | sent
0.296 pkt: 89 | received
0.296 ACK: 65 | sent
0.297 pkt: 90 | received
0.298 ACK: 65 | sent
0.298 pkt: 59 | received
0.299 ACK: 65 | sent
0.300 pkt: 59 | received
0.300 ACK: 65 | sent
0.301 pkt: 59 | received
0.301 ACK: 65 | sent
0.302 pkt: 59 | received
0.302 ACK: 65 | sent
0.303 pkt: 59 | received
0.303 ACK: 65 | sent
0.304 pkt: 59 | received
0.304 ACK: 65 | sent
0.306 pkt: 59 | received
0.306 ACK: 65 | sent
0.306 pkt: 91 | received
0.306 ACK: 65 | sent
0.308 pkt: 92 | received
0.308 ACK: 65 | sent
0.309 pkt: 93 | received
0.309 ACK: 65 | sent
0.310 pkt: 94 | received
0.310 ACK: 65 | sent
0.311 pkt: 95 | received
0.311 ACK: 65 | sent
0.312 pkt: 96 | received
0.312 ACK: 65 | sent
0.314 pkt: 97 | received
0.314 ACK: 65 | sent
0.315 pkt: 66 | received
0.315 ACK: 97 | sent
0.316 pkt: 66 | received
0.316 ACK: 97 | sent
0.317 pkt: 66 | received
0.317 ACK: 97 | sent
0.318 pkt: 66 | received
0.318 ACK: 97 | sent
0.320 pkt: 66 | received
0.320 ACK: 97 | sent
0.321 pkt: 66 | received
0.321 ACK: 97 | sent
0.322 pkt: 66 | received
0.322 ACK: 97 | sent
0.323 pkt: 66 | received
0.324 ACK: 97 | sent
0.324 pkt: 66 | received
0.324 ACK: 97 | sent
0.325 pkt: 66 | received
0.325 ACK: 97 | sent
0.329 pkt: 66 | received
0.329 ACK: 97 | sent
0.329 pkt: 66 | received
0.329 ACK: 97 | sent
0.329 pkt: 66 | received
0.329 ACK: 97 | sent
0.330 pkt: 66 | received
0.330 ACK: 97 | sent
0.331 pkt: 66 | received
0.331 ACK: 97 | sent
0.332 pkt: 66 | received
0.332 ACK: 97 | sent
0.334 pkt: 66 | received
0.334 ACK: 97 | sent
0.335 pkt: 66 | received
0.335 ACK: 97 | sent
0.335 pkt: 66 | received
0.336 ACK: 97 | sent
0.336 pkt: 66 | received
0.336 ACK: 97 | sent
0.338 pkt: 98 | received
0.338 ACK: 98 | sent
0.339 pkt: 99 | received
0.339 ACK: 99 | sent
0.340 pkt: 100 | received
0.340 ACK: 100 | sent
0.341 pkt: 101 | received
0.341 ACK: 101 | sent
0.342 pkt: 102 | received
0.342 ACK: 102 | sent
0.344 pkt: 103 | received
0.344 ACK: 103 | sent
0.345 pkt: 104 | received
0.345 ACK: 104 | sent
0.346 pkt: 105 | received
0.346 ACK: 105 | sent
0.347 pkt: 106 | received
0.347 ACK: 106 | sent
0.348 pkt: 107 | received
0.348 ACK: 107 | sent
0.350 pkt: 108 | received
0.350 ACK: 108 | sent
0.350 pkt: 109 | received
0.350 ACK: 109 | sent
0.352 pkt: 111 | received
0.352 ACK: 109 | sent
0.354 pkt: 112 | received
0.354 ACK: 109 | sent
0.354 pkt: 113 | received
0.354 ACK: 109 | sent
0.355 pkt: 114 | received
0.355 ACK: 109 | sent
0.357 pkt: 115 | received
0.357 ACK: 109 | sent
0.358 pkt: 117 | received
0.358 ACK: 109 | sent
0.359 pkt: 118 | received
0.359 ACK: 109 | sent
0.360 pkt: 119 | received
0.360 ACK: 109 | sent
0.361 pkt: 120 | received
0.361 ACK: 109 | sent
0.363 pkt: 121 | received
0.363 ACK: 109 | sent
0.363 pkt: 122 | received
0.363 ACK: 109 | sent
0.364 pkt: 123 | received
0.364 ACK: 109 | sent
0.365 pkt: 124 | received
0.365 ACK: 109 | sent
0.366 pkt: 125 | received
0.366 ACK: 109 | sent
0.369 pkt: 126 | received
0.369 ACK: 109 | sent
0.369 pkt: 127 | received
0.369 ACK: 109 | sent
0.370 pkt: 128 | received
0.370 ACK: 109 | sent
0.371 pkt: 129 | received
0.371 ACK: 109 | sent
0.372 pkt: 98 | received
0.372 ACK: 109 | sent
0.373 pkt: 98 | received
0.374 ACK: 109 | sent
0.375 pkt: 98 | received
0.375 ACK: 109 | sent
0.376 pkt: 98 | received
0.376 ACK: 109 | sent
0.377 pkt: 98 | received
0.377 ACK: 109 | sent
0.378 pkt: 98 | received
0.379 ACK: 109 | sent
0.379 pkt: 98 | received
0.379 ACK: 109 | sent
0.381 pkt: 98 | received
0.381 ACK: 109 | sent
0.381 pkt: 98 | received
0.381 ACK: 109 | sent
0.383 pkt: 98 | received
0.383 ACK: 109 | sent
0.385 pkt: 130 | received
0.385 ACK: 109 | sent
0.385 pkt: 131 | received
0.385 ACK: 109 | sent
0.386 pkt: 132 | received
0.386 ACK: 109 | sent
0.393 pkt: 133 | received
0.393 ACK: 109 | sent
0.393 pkt: 134 | received
0.393 ACK: 109 | sent
0.394 pkt: 135 | received
0.394 ACK: 109 | sent
0.400 pkt: 136 | received
0.400 ACK: 109 | sent
0.400 pkt: 137 | received
0.400 ACK: 109 | sent
0.406 pkt: 138 | received
0.406 ACK: 109 | sent
0.406 pkt: 139 | received
0.406 ACK: 109 | sent
0.409 pkt: 140 | received
0.409 ACK: 109 | sent
0.409 pkt: 141 | received
0.409 ACK: 109 | sent
0.412 pkt: 110 | received
0.412 ACK: 115 | sent
0.412 pkt: 110 | received
0.412 ACK: 115 | sent
0.422 pkt: 110 | received
0.422 ACK: 115 | sent
0.422 pkt: 110 | received
0.422 ACK: 115 | sent
0.423 pkt: 110 | received
0.423 ACK: 115 | sent
0.424 pkt: 110 | received
0.424 ACK: 115 | sent
0.426 pkt: 110 | received
0.426 ACK: 115 | sent
0.427 pkt: 110 | received
0.427 ACK: 115 | sent
0.428 pkt: 110 | received
0.428 ACK: 115 | sent
0.430 pkt: 110 | received
0.430 ACK: 115 | sent
0.430 pkt: 110 | received
0.430 ACK: 115 | sent
0.432 pkt: 110 | received
0.432 ACK: 115 | sent
0.433 pkt: 110 | received
0.433 ACK: 115 | sent
0.434 pkt: 110 | received
0.434 ACK: 115 | sent
0.435 pkt: 110 | received
0.435 ACK: 115 | sent
0.436 pkt: 110 | received
0.436 ACK: 115 | sent
0.438 pkt: 110 | received
0.438 ACK: 115 | sent
0.439 pkt: 110 | received
0.439 ACK: 115 | sent
0.440 pkt: 110 | received
0.440 ACK: 115 | sent
0.441 pkt: 142 | received
0.441 ACK: 115 | sent
0.442 pkt: 143 | received
0.442 ACK: 115 | sent
0.443 pkt: 144 | received
0.444 ACK: 115 | sent
0.445 pkt: 145 | received
0.445 ACK: 115 | sent
0.445 pkt: 146 | received
0.445 ACK: 115 | sent
0.447 pkt: 147 | received
0.447 ACK: 115 | sent
0.447 pkt: 116 | received
0.448 ACK: 147 | sent
0.449 pkt: 116 | received
0.449 ACK: 147 | sent
0.451 pkt: 116 | received
0.451 ACK: 147 | sent
0.451 pkt: 116 | received
0.451 ACK: 147 | sent
0.455 pkt: 116 | received
0.455 ACK: 147 | sent
0.456 pkt: 116 | received
0.456 ACK: 147 | sent
0.459 pkt: 116 | received
0.459 ACK: 147 | sent
0.461 pkt: 116 | received
0.461 ACK: 147 | sent
0.463 pkt: 116 | received
0.463 ACK: 147 | sent
0.465 pkt: 116 | received
0.465 ACK: 147 | sent
0.469 pkt: 116 | received
0.469 ACK: 147 | sent
0.469 pkt: 148 | received
0.469 ACK: 148 | sent
0.471 pkt: 149 | received
0.471 ACK: 149 | sent
0.471 pkt: 150 | received
0.472 ACK: 150 | sent
0.473 pkt: 151 | received
0.474 ACK: 151 | sent
0.474 pkt: 152 | received
0.474 ACK: 152 | sent
0.475 pkt: 153 | received
0.475 ACK: 153 | sent
0.476 pkt: 154 | received
0.476 ACK: 154 | sent
0.477 pkt: 155 | received
0.477 ACK: 155 | sent
0.479 pkt: 156 | received
0.479 ACK: 156 | sent
0.481 pkt: 157 | received
0.481 ACK: 157 | sent
0.481 pkt: 158 | received
0.481 ACK: 158 | sent
0.482 pkt: 159 | received
0.482 ACK: 159 | sent
0.484 pkt: 160 | received
0.484 ACK: 160 | sent
0.484 pkt: 161 | received
0.484 ACK: 161 | sent
0.488 pkt: 162 | received
0.488 ACK: 162 | sent
0.488 pkt: 163 | received
0.488 ACK: 163 | sent
0.489 pkt: 164 | received
0.489 ACK: 164 | sent
0.489 pkt: 166 | received
0.489 ACK: 164 | sent
0.490 pkt: 167 | received
0.490 ACK: 164 | sent
0.491 pkt: 168 | received
0.491 ACK: 164 | sent
0.493 pkt: 169 | received
0.493 ACK: 164 | sent
0.494 pkt: 170 | received
0.494 ACK: 164 | sent
0.495 pkt: 171 | received
0.495 ACK: 164 | sent
0.496 pkt: 172 | received
0.496 ACK: 164 | sent
0.498 pkt: 173 | received
0.499 ACK: 164 | sent
0.499 pkt: 174 | received
0.499 ACK: 164 | sent
0.501 pkt: 175 | received
0.501 ACK: 164 | sent
0.501 pkt: 176 | received
0.501 ACK: 164 | sent
0.502 pkt: 177 | received
0.502 ACK: 164 | sent
0.504 pkt: 178 | received
0.504 ACK: 164 | sent
0.505 pkt: 179 | received
0.505 ACK: 164 | sent
0.505 pkt: 148 | received
0.505 ACK: 164 | sent
0.507 pkt: 148 | received
0.507 ACK: 164 | sent
0.508 pkt: 148 | received
0.508 ACK: 164 | sent
0.509 pkt: 148 | received
0.509 ACK: 164 | sent
0.510 pkt: 180 | received
0.510 ACK: 164 | sent
0.511 pkt: 181 | received
0.511 ACK: 164 | sent
0.512 pkt: 182 | received
0.512 ACK: 164 | sent
0.513 pkt: 183 | received
0.513 ACK: 164 | sent
0.514 pkt: 184 | received
0.514 ACK: 164 | sent
0.516 pkt: 185 | received
0.516 ACK: 164 | sent
0.517 pkt: 186 | received
0.517 ACK: 164 | sent
0.518 pkt: 187 | received
0.518 ACK: 164 | sent
0.519 pkt: 188 | received
0.519 ACK: 164 | sent
0.520 pkt: 189 | received
0.520 ACK: 164 | sent
0.522 pkt: 190 | received
0.522 ACK: 164 | sent
0.523 pkt: 191 | received
0.523 ACK: 164 | sent
0.524 pkt: 192 | received
0.524 ACK: 164 | sent
0.525 pkt: 193 | received
0.525 ACK: 164 | sent
0.527 pkt: 194 | received
0.527 ACK: 164 | sent
0.527 pkt: 195 | received
0.527 ACK: 164 | sent
0.529 pkt: 196 | received
0.529 ACK: 164 | sent
0.530 pkt: 165 | received
0.530 ACK: 196 | sent
0.531 pkt: 165 | received
0.531 ACK: 196 | sent
0.533 pkt: 165 | received
0.533 ACK: 196 | sent
0.533 pkt: 165 | received
0.533 ACK: 196 | sent
0.534 pkt: 165 | received
0.534 ACK: 196 | sent
0.535 pkt: 165 | received
0.536 ACK: 196 | sent
0.536 pkt: 165 | received
0.537 ACK: 196 | sent
0.538 pkt: 165 | received
0.539 ACK: 196 | sent
0.539 pkt: 165 | received
0.539 ACK: 196 | sent
0.540 pkt: 165 | received
0.540 ACK: 196 | sent
0.542 pkt: 165 | received
0.542 ACK: 196 | sent
0.542 pkt: 165 | received
0.542 ACK: 196 | sent
0.545 pkt: 165 | received
0.545 ACK: 196 | sent
0.546 pkt: 165 | received
0.546 ACK: 196 | sent
0.549 pkt: 165 | received
0.550 ACK: 196 | sent
0.551 pkt: 197 | received
0.551 ACK: 197 | sent
0.551 pkt: 198 | received
0.551 ACK: 198 | sent
0.552 pkt: 199 | received
0.552 ACK: 199 | sent
0.554 pkt: 200 | received
0.554 ACK: 200 | sent
0.554 pkt: 201 | received
0.555 ACK: 201 | sent
0.556 pkt: 202 | received
0.556 ACK: 202 | sent
0.557 pkt: 203 | received
0.557 ACK: 203 | sent
0.558 pkt: 204 | received
0.558 ACK: 204 | sent
0.560 pkt: 205 | received
0.560 ACK: 205 | sent
0.560 pkt: 206 | received
0.560 ACK: 206 | sent
0.563 pkt: 207 | received
0.564 ACK: 207 | sent
0.564 pkt: 208 | received
0.564 ACK: 208 | sent
0.565 pkt: 209 | received
0.565 ACK: 209 | sent
0.565 pkt: 210 | received
0.565 ACK: 210 | sent
0.567 pkt: 211 | received
0.567 ACK: 211 | sent
0.567 pkt: 212 | received
0.567 ACK: 212 | sent
0.569 pkt: 213 | received
0.569 ACK: 213 | sent
0.569 pkt: 214 | received
0.570 ACK: 214 | sent
0.571 pkt: 215 | received
0.571 ACK: 215 | sent
0.572 pkt: 216 | received
0.573 ACK: 216 | sent
0.573 pkt: 217 | received
0.573 ACK: 217 | sent
0.575 pkt: 218 | received
0.575 ACK: 218 | sent
0.575 pkt: 219 | received
0.575 ACK: 219 | sent
0.577 pkt: 220 | received
0.577 ACK: 220 | sent
0.578 pkt: 221 | received
0.578 ACK: 221 | sent
0.580 pkt: 222 | received
0.580 ACK: 222 | sent
0.580 pkt: 223 | received
0.580 ACK: 223 | sent
0.582 pkt: 224 | received
0.582 ACK: 224 | sent
0.582 pkt: 225 | received
0.582 ACK: 225 | sent
0.584 pkt: 226 | received
0.584 ACK: 226 | sent
0.586 pkt: 227 | received
0.586 ACK: 227 | sent
0.586 pkt: 228 | received
0.586 ACK: 228 | sent
0.588 pkt: 197 | received
0.588 ACK: 228 | sent
0.588 pkt: 197 | received
0.588 ACK: 228 | sent
0.589 pkt: 197 | received
0.589 ACK: 228 | sent
0.590 pkt: 197 | received
0.590 ACK: 228 | sent
0.592 pkt: 197 | received
0.592 ACK: 228 | sent
0.593 pkt: 197 | received
0.593 ACK: 228 | sent
0.594 pkt: 197 | received
0.594 ACK: 228 | sent
0.595 pkt: 229 | received
0.595 ACK: 229 | sent
0.596 pkt: 230 | received
0.596 ACK: 230 | sent
0.597 pkt: 231 | received
0.597 ACK: 231 | sent
0.598 pkt: 232 | received
0.599 ACK: 232 | sent
0.600 pkt: 233 | received
0.600 ACK: 233 | sent
0.601 pkt: 234 | received
0.601 ACK: 234 | sent
0.602 pkt: 235 | received
0.602 ACK: 235 | sent
0.603 pkt: 236 | received
0.603 ACK: 236 | sent
0.605 pkt: 237 | received
0.605 ACK: 237 | sent
0.606 pkt: 238 | received
0.606 ACK: 238 | sent
0.607 pkt: 239 | received
0.607 ACK: 239 | sent
0.608 pkt: 240 | received
0.608 ACK: 240 | sent
0.609 pkt: 241 | received
0.609 ACK: 241 | sent
0.611 pkt: 242 | received
0.611 ACK: 242 | sent
0.611 pkt: 243 | received
0.611 ACK: 243 | sent
0.613 pkt: 244 | received
0.613 ACK: 244 | sent
0.614 pkt: 246 | received
0.614 ACK: 244 | sent
0.615 pkt: 247 | received
0.615 ACK: 244 | sent
0.616 pkt: 248 | received
0.616 ACK: 244 | sent
0.617 pkt: 249 | received
0.617 ACK: 244 | sent
0.619 pkt: 250 | received
0.619 ACK: 244 | sent
0.619 pkt: 251 | received
0.619 ACK: 244 | sent
0.620 pkt: 252 | received
0.621 ACK: 244 | sent
0.622 pkt: 253 | received
0.622 ACK: 244 | sent
0.624 pkt: 254 | received
0.624 ACK: 244 | sent
0.624 pkt: 255 | received
0.624 ACK: 244 | sent
0.625 pkt: 256 | received
0.625 ACK: 244 | sent
0.626 pkt: 257 | received
0.626 ACK: 244 | sent
0.627 pkt: 258 | received
0.627 ACK: 244 | sent
0.630 pkt: 259 | received
0.630 ACK: 244 | sent
0.630 pkt: 260 | received
0.630 ACK: 244 | sent
0.631 pkt: 229 | received
0.631 ACK: 244 | sent
0.641 pkt: 229 | received
0.641 ACK: 244 | sent
0.641 pkt: 229 | received
0.641 ACK: 244 | sent
0.642 pkt: 261 | received
0.642 ACK: 244 | sent
0.643 pkt: 262 | received
0.643 ACK: 244 | sent
0.645 pkt: 263 | received
0.645 ACK: 244 | sent
0.646 pkt: 264 | received
0.646 ACK: 244 | sent
0.647 pkt: 265 | received
0.647 ACK: 244 | sent
0.648 pkt: 266 | received
0.648 ACK: 244 | sent
0.650 pkt: 267 | received
0.650 ACK: 244 | sent
0.651 pkt: 268 | received
0.651 ACK: 244 | sent
0.652 pkt: 269 | received
0.652 ACK: 244 | sent
0.653 pkt: 270 | received
0.653 ACK: 244 | sent
0.654 pkt: 271 | received
0.654 ACK: 244 | sent
0.655 pkt: 272 | received
0.655 ACK: 244 | sent
0.657 pkt: 273 | received
0.657 ACK: 244 | sent
0.657 pkt: 274 | received
0.657 ACK: 244 | sent
0.659 pkt: 275 | received
0.659 ACK: 244 | sent
0.659 pkt: 276 | received
0.660 ACK: 244 | sent
0.661 pkt: 245 | received
0.661 ACK: 276 | sent
0.662 pkt: 245 | received
0.662 ACK: 276 | sent
0.663 pkt: 245 | received
0.663 ACK: 276 | sent
0.664 pkt: 245 | received
0.664 ACK: 276 | sent
0.666 pkt: 245 | received
0.666 ACK: 276 | sent
0.666 pkt: 245 | received
0.666 ACK: 276 | sent
0.668 pkt: 245 | received
0.668 ACK: 276 | sent
0.669 pkt: 245 | received
0.669 ACK: 276 | sent
0.670 pkt: 245 | received
0.670 ACK: 276 | sent
0.671 pkt: 245 | received
0.671 ACK: 276 | sent
0.672 pkt: 245 | received
0.673 ACK: 276 | sent
0.673 pkt: 245 | received
0.674 ACK: 276 | sent
0.675 pkt: 245 | received
0.675 ACK: 276 | sent
0.676 pkt: 245 | received
0.676 ACK: 276 | sent
0.678 pkt: 245 | received
0.678 ACK: 276 | sent
0.680 pkt: 245 | received
0.680 ACK: 276 | sent
0.682 pkt: 277 | received
0.682 ACK: 277 | sent
0.682 pkt: 278 | received
0.682 ACK: 278 | sent
0.683 pkt: 279 | received
0.683 ACK: 279 | sent
0.684 pkt: 280 | received
0.684 ACK: 280 | sent
0.686 pkt: 281 | received
0.686 ACK: 281 | sent
0.687 pkt: 282 | received
0.687 ACK: 282 | sent
0.688 pkt: 283 | received
0.688 ACK: 283 | sent
0.689 pkt: 284 | received
0.689 ACK: 284 | sent
0.691 pkt: 286 | received
0.691 ACK: 284 | sent
0.691 pkt: 287 | received
0.692 ACK: 284 | sent
0.693 pkt: 288 | received
0.693 ACK: 284 | sent
0.694 pkt: 289 | received
0.694 ACK: 284 | sent
0.695 pkt: 290 | received
0.695 ACK: 284 | sent
0.697 pkt: 291 | received
0.697 ACK: 284 | sent
0.697 pkt: 292 | received
0.697 ACK: 284 | sent
0.699 pkt: 293 | received
0.699 ACK: 284 | sent
0.699 pkt: 294 | received
0.699 ACK: 284 | sent
0.700 pkt: 295 | received
0.700 ACK: 284 | sent
0.702 pkt: 296 | received
0.702 ACK: 284 | sent
0.703 pkt: 297 | received
0.703 ACK: 284 | sent
0.704 pkt: 298 | received
0.704 ACK: 284 | sent
0.707 pkt: 299 | received
0.707 ACK: 284 | sent
0.707 pkt: 300 | received
0.707 ACK: 284 | sent
0.708 pkt: 301 | received
0.708 ACK: 284 | sent
0.709 pkt: 302 | received
0.709 ACK: 284 | sent
0.710 pkt: 303 | received
0.710 ACK: 284 | sent
0.711 pkt: 304 | received
0.712 ACK: 284 | sent
0.712 pkt: 305 | received
0.712 ACK: 284 | sent
0.713 pkt: 306 | received
0.713 ACK: 284 | sent
0.716 pkt: 307 | received
0.716 ACK: 284 | sent
0.716 pkt: 308 | received
0.716 ACK: 284 | sent
0.718 pkt: 277 | received
0.719 ACK: 284 | sent
0.719 pkt: 277 | received
0.719 ACK: 284 | sent
0.720 pkt: 277 | received
0.720 ACK: 284 | sent
0.721 pkt: 277 | received
0.721 ACK: 284 | sent
0.722 pkt: 277 | received
0.722 ACK: 284 | sent
0.723 pkt: 277 | received
0.723 ACK: 284 | sent
0.727 pkt: 277 | received
0.727 ACK: 284 | sent
0.727 pkt: 309 | received
0.727 ACK: 284 | sent
0.729 pkt: 310 | received
0.730 ACK: 284 | sent
0.730 pkt: 311 | received
0.730 ACK: 284 | sent
0.737 pkt: 312 | received
0.737 ACK: 284 | sent
0.737 pkt: 313 | received
0.737 ACK: 284 | sent
0.738 pkt: 314 | received
0.738 ACK: 284 | sent
0.739 pkt: 315 | received
0.739 ACK: 284 | sent
0.741 pkt: 316 | received
0.741 ACK: 284 | sent
0.741 pkt: 285 | received
0.741 ACK: 316 | sent
0.743 pkt: 285 | received
0.743 ACK: 316 | sent
0.744 pkt: 285 | received
0.744 ACK: 316 | sent
0.745 pkt: 285 | received
0.745 ACK: 316 | sent
0.746 pkt: 285 | received
0.746 ACK: 316 | sent
0.748 pkt: 285 | received
0.748 ACK: 316 | sent
0.748 pkt: 285 | received
0.748 ACK: 316 | sent
0.750 pkt: 285 | received
0.750 ACK: 316 | sent
0.752 pkt: 285 | received
0.752 ACK: 316 | sent
0.752 pkt: 285 | received
0.752 ACK: 316 | sent
0.753 pkt: 285 | received
0.753 ACK: 316 | sent
0.754 pkt: 285 | received
0.754 ACK: 316 | sent
0.755 pkt: 285 | received
0.755 ACK: 316 | sent
0.757 pkt: 285 | received
0.757 ACK: 316 | sent
0.758 pkt: 285 | received
0.758 ACK: 316 | sent
0.759 pkt: 285 | received
0.759 ACK: 316 | sent
0.761 pkt: 285 | received
0.761 ACK: 316 | sent
0.761 pkt: 285 | received
0.761 ACK: 316 | sent
0.762 pkt: 285 | received
0.762 ACK: 316 | sent
0.763 pkt: 317 | received
0.763 ACK: 317 | sent
0.765 pkt: 318 | received
0.765 ACK: 318 | sent
0.766 pkt: 319 | received
0.766 ACK: 319 | sent
0.767 pkt: 320 | received
0.767 ACK: 320 | sent
0.768 pkt: 321 | received
0.768 ACK: 321 | sent
0.769 pkt: 322 | received
0.769 ACK: 322 | sent
0.771 pkt: 323 | received
0.771 ACK: 323 | sent
0.771 pkt: 324 | received
0.771 ACK: 324 | sent
0.773 pkt: 325 | received
0.773 ACK: 325 | sent
